,is_holiday
2017-01-01,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,1.0
2017-04-14,1.0
2017-04-21,1.0
2017-05-01,1.0
2017-06-15,1.0
2017-07-09,1.0
2017-08-13,1.0
2017-09-07,1.0
2017-10-12,1.0
2017-10-27,1.0
2017-11-01,1.0
2017-11-02,1.0
2017-11-15,1.0
2017-11-20,1.0
2017-12-25,1.0
2018-01-01,1.0
2018-01-25,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-03-30,1.0
2018-04-21,1.0
2018-05-01,1.0
2018-05-13,1.0
2018-05-31,1.0
2018-07-09,1.0
2018-08-12,1.0
2018-09-07,1.0
2018-10-12,1.0
2018-10-29,1.0
2018-11-02,1.0
2018-11-15,1.0
2018-11-20,1.0
2018-12-25,1.0
